lat	lon	ele
45.571201	6.71924	857.6
45.571164	6.719151	857.6
45.571123	6.719057	857.6
45.571083	6.718965	857.6
45.571005	6.718783	857.6
45.570962	6.718686	857.6
45.570922	6.718599	857.6
45.570884	6.718513	857.6
45.57081	6.718347	857.6
45.570772	6.718261	857.6
45.570732	6.718179	857.6
45.570694	6.718099	857.6
45.570612	6.717925	857.6
45.57057	6.717839	857.6
45.570524	6.717751	857.6
45.570478	6.717664	857.6
45.57038	6.717486	857.6
45.570327	6.717398	857.6
45.570272	6.717311	857.6
45.570216	6.717226	857.6
45.570093	6.717057	857.6
45.570028	6.716977	857.6
45.569958	6.716897	856.6
45.569886	6.716817	856.6
45.569748	6.716672	856.6
45.569677	6.716601	856.6
45.569607	6.716531	855.2
45.56954	6.716464	855.2
45.569413	6.716334	855.2
45.569345	6.716265	854
45.569273	6.716184	854
45.569202	6.7161	854
45.569064	6.715919	852.8
45.568996	6.715824	852.8
45.568931	6.715725	852.8
45.568872	6.715627	851.4
45.568768	6.715427	851.4
45.568722	6.715326	851.4
45.568682	6.715223	850.2
45.568642	6.715114	850.2
45.568583	6.714901	850.2
45.568559	6.714798	850.2
45.568534	6.714695	849
45.568512	6.71459	849
45.568467	6.714385	849
45.568446	6.714286	849
45.568425	6.714185	849
45.568404	6.714085	849
45.568366	6.713888	849
45.568347	6.713791	849
45.568329	6.713693	849
45.568313	6.713596	849
45.56828	6.713407	849
45.56826	6.713312	849
45.568243	6.71322	849
45.568227	6.713128	849
45.568197	6.712949	849
45.56818	6.712863	849
45.568165	6.712774	849
45.568146	6.71268	849
45.568117	6.712498	849
45.568105	6.712406	849
45.568092	6.712313	849
45.568081	6.712228	849
45.568061	6.712052	849
45.568048	6.711962	849
45.568037	6.711874	849
45.568027	6.711782	849
45.568007	6.711604	850.2
45.567997	6.711514	850.2
45.56799	6.711423	850.2
45.56798	6.711327	850.2
45.567966	6.711139	850.2
45.567959	6.711045	851.4
45.567951	6.710953	851.4
45.567944	6.710862	851.4
45.567934	6.710681	851.4
45.567929	6.710589	851.4
45.567921	6.710496	852.6
45.567917	6.710403	852.6
45.567909	6.710215	852.6
45.567905	6.710117	852.6
45.567902	6.710021	854
45.567893	6.709913	854
45.56789	6.709718	854
45.567887	6.709613	854
45.567887	6.709512	855
45.567887	6.709406	855
45.567895	6.709188	855
45.567902	6.709078	855
45.567907	6.708961	855
45.567912	6.708844	856.2
45.567927	6.7086	856.2
45.567935	6.708477	856.2
45.567942	6.708353	856.2
45.567951	6.708224	856.2
45.567972	6.707964	856.2
45.567984	6.707831	856.2
45.567996	6.707692	856.2
45.568011	6.707551	856.2
45.568031	6.707334	856.2
45.568051	6.707116	856.2
45.568061	6.706961	856.2
45.568074	6.706811	856.2
45.568091	6.706584	856.2
45.568107	6.706356	856.2
45.568117	6.706205	856.2
45.568126	6.706052	856.2
45.568144	6.705817	856.2
45.568161	6.705582	856.2
45.568166	6.70542	856.2
45.568166	6.705257	854.8
45.568159	6.705003	854.8
45.568152	6.70475	854.8
45.568144	6.704575	853.6
45.568131	6.704395	853.6
45.568099	6.704118	852.6
45.568066	6.703841	852.6
45.568038	6.703655	851.2
45.56801	6.703471	851.2
45.567955	6.703196	850
45.5679	6.702922	850
45.567858	6.702739	848.6
45.567813	6.702561	848.6
45.567745	6.702302	846.8
45.567677	6.702044	846.8
45.567629	6.701871	845
45.567579	6.701706	845
45.567491	6.701476	843.4
45.567402	6.701246	843.4
45.567343	6.701095	842.2
45.567289	6.700939	842.2
45.567212	6.700704	842.2
45.567135	6.700469	840.8
45.567085	6.700307	840.8
45.567039	6.700152	840.8
45.566991	6.699893	840.8
45.566943	6.699634	839.6
45.566937	6.699457	839.6
45.566942	6.699278	839.6
